appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop,n_deposit_formula,prop_deposit_formula
2,Brader (2005),original,Gender: Male,0.3362020692989226,0.2490846790473761,0.1794063449277542,-0.15651204586573303,0.8289161844635782,134,0.4785714285714286,134,0.2392857142857143
2,Brader (2005),original,Gender: Female,0.608408675968913,0.2528675381549996,0.0173950545675965,0.10859700509381426,1.1082203468440115,146,0.5214285714285715,146,0.26071428571428573
2,Brader (2005),mt,Age: 18 - 39,0.3460234026975541,0.06521607863380703,1.318314727291912e-7,0.21808266016753308,0.47396414522757513,1297,0.7589233469865418,1297,0.3794616734932709
2,Brader (2005),mt,Age: 40 - 59,0.25524147280342435,0.1296511221548119,0.04976973052798624,2.581800984817195e-4,0.5102247655083669,356,0.2083089526038619,356,0.10415447630193095
2,Brader (2005),mt,Age: More than 60,0.43026772114816975,0.360572953455975,0.23797269190007764,-0.2926375251165106,1.15317296741285,56,0.032767700409596257,56,0.016383850204798128
2,Brader (2005),mt,Party ID: Democrat,0.30490258103577644,0.06799152417577643,8.122169854271511e-6,0.17148667246669408,0.4383184896048588,1044,0.6108835576360445,1044,0.30544177881802226
2,Brader (2005),mt,Party ID: Independent,0.46584087208617114,0.1553579155212663,0.00296798899659056,0.15996363638655603,0.7717181077857862,270,0.15798712697483908,270,0.07899356348741954
2,Brader (2005),mt,Party ID: Republican,0.25873517617630687,0.12672538946850348,0.04184859834349246,0.00959070149962978,0.5078796508529839,395,0.23112931538911644,395,0.11556465769455822
2,Brader (2005),mt,Race: White,0.30649739278647276,0.0684127630675265,8.120247025312044e-6,0.17228501358960882,0.4407097719833367,1293,0.7565827969572849,1293,0.37829139847864246
2,Brader (2005),mt,Race: Nonwhite,0.33658325845701004,0.10795725338615288,0.00194958516440725,0.1243705398267565,0.5487959770872636,416,0.24341720304271502,416,0.12170860152135751
2,Brader (2005),mt,Education: Less than College,0.26997190346551914,0.08585402336612206,0.00172125828979598,0.1014611633644261,0.43848264356661215,852,0.49853715623171446,852,0.24926857811585723
2,Brader (2005),mt,Education: College,0.3012982390820087,0.09045184131694164,9.144498605992306e-4,0.1236836289642388,0.4789128491997786,649,0.37975424224692805,649,0.18987712112346403
2,Brader (2005),mt,Education: Graduate School,0.5087145616083775,0.15793334316617197,0.00148427313364911,0.19734160489476127,0.8200875183219937,208,0.12170860152135751,208,0.060854300760678756
2,Brader (2005),mt,Gender: Male,0.1946305935423489,0.08524965824338304,0.02268065383608752,0.02729824863707397,0.3619629384476239,825,0.48273844353423057,825,0.24136922176711528
2,Brader (2005),mt,Gender: Female,0.4217117310086521,0.08023342781828598,1.846998519675748e-7,0.26424101089023627,0.579182451127068,884,0.5172615564657694,884,0.2586307782328847
3,Brandt (2013),original,Age: 18 - 39,-0.44355540685259426,0.19078415058302464,0.0214089133091939,-0.8205065262560529,-0.06660428744913555,153,0.2448,153,0.1224
3,Brandt (2013),original,Age: 40 - 59,-0.3658724611504097,0.14252564401676462,0.01079758580657027,-0.6464800809640066,-0.08526484133681284,271,0.4336,271,0.2168
3,Brandt (2013),original,Age: More than 60,-0.4683661676627634,0.17424215512323463,0.00779661964367385,-0.8119641257425549,-0.12476820958297193,201,0.3216,201,0.1608
3,Brandt (2013),original,Party ID: Democrat,-0.531383907428438,0.14044888648657217,1.8438027115993003e-4,-0.8076972300568062,-0.2550705848000698,324,0.5184,324,0.2592
3,Brandt (2013),original,Party ID: Independent,0.4871030927813681,0.5391447923346327,0.37525405180533267,-0.6256370686273208,1.599843254190057,26,0.0416,26,0.0208
3,Brandt (2013),original,Party ID: Republican,-0.32630112981267595,0.15415828998924933,0.03519323201456678,-0.629791263436484,-0.022810996188868,275,0.44,275,0.22
3,Brandt (2013),original,Race: White,-0.4096788646052736,0.1126436880968778,3.069537125102443e-4,-0.6310363300963561,-0.1883213991141911,464,0.7424,464,0.3712
3,Brandt (2013),original,Race: Nonwhite,-0.38462998648502467,0.19827200736093417,0.0541602201545921,-0.7762164501206739,0.00695647715062452,161,0.2576,161,0.1288
3,Brandt (2013),original,Education: Less than College,-0.42775085728599693,0.1203046317181899,4.173035351044383e-4,-0.6641823407888291,-0.19131937378316477,450,0.72,450,0.36
3,Brandt (2013),original,Education: College,-0.5969140777332985,0.2307541215856344,0.01101703696197565,-1.0543087787043102,-0.13951937676228693,110,0.176,110,0.088
3,Brandt (2013),original,Education: Graduate School,0.15397494764113212,0.3005101444923484,0.6101778347061121,-0.4465466575366937,0.754496552818958,65,0.104,65,0.052
3,Brandt (2013),original,Gender: Male,-0.302050964965421,0.15601915704875033,0.05378121459961646,-0.6090453178480346,0.00494338791719256,311,0.4976,311,0.2488
3,Brandt (2013),original,Gender: Female,-0.4910764212992479,0.12780608293886833,1.476435251909691e-4,-0.7425472224346159,-0.23960562016387987,314,0.5024,314,0.2512
3,Brandt (2013),mt,Age: 18 - 39,-0.7850264413656078,0.05527216805271824,1.8727991986679197e-42,-0.8934665506052287,-0.676586332125987,1210,0.7697201017811705,1210,0.3848600508905852
3,Brandt (2013),mt,Age: 40 - 59,-0.7962247390288842,0.10016254683856556,3.5798462278748155e-14,-0.9933141822553532,-0.5991352958024152,310,0.19720101781170485,310,0.09860050890585242
3,Brandt (2013),mt,Age: More than 60,-0.5143878441465483,0.24754406463998457,0.0428666139244228,-1.011594730825649,-0.01718095746744752,52,0.03307888040712468,52,0.01653944020356234
3,Brandt (2013),mt,Party ID: Democrat,-0.7675620879612867,0.06039827261823462,1.802086171162151e-34,-0.8860802029934052,-0.6490439729291682,1029,0.6545801526717557,1029,0.32729007633587787
